,0
338,24108.43120875398
339,31074.368471410606
340,30025.492203297206
341,29135.99014160904
342,27638.518171797983
343,21758.321963397917
344,24388.27415561937
345,31079.731157513066
346,30814.66178164288
347,29625.64527965806
348,27667.158954633804
349,21935.051778210276
350,24554.716248328088
351,31079.649618175765
352,30329.00745042481
353,29678.3877489096
354,27638.518171797983
355,22205.226880792085
356,24301.359787526497
357,30967.060571011345
358,30410.82819916273
359,28989.300876486777
360,27450.041104815115
361,21740.46401528482
362,21330.336639497862
363,27548.506393664797
364,26520.213682162026
365,24853.5666003553
366,25826.193036016328
367,19957.895757829643
368,19279.579693720825
369,23572.50627471568
370,24259.054327011956
371,22403.15871844005
372,25236.741493808466
373,19918.784301428394
374,23607.71362953871
375,30610.40283469723
376,29834.938647019877
377,29135.99014160904
378,27531.433345809484
379,22292.778045851206
380,24558.691174393254
381,31731.131308067408
382,30555.640538777952
383,29865.5018276454
384,27653.08270363859
385,21693.32186179967
386,24554.716248328088
387,31733.316445548408
388,30435.630202742424
389,28989.300876486777
390,27638.518171797983
391,21892.998902936433
392,24209.232733918754
393,31741.209418964227
394,30411.765433091194
395,30062.825475442478
396,28089.963115772003
397,21718.68020750228
398,24007.23688476648
399,31005.93899562378
400,29678.180281836787
401,28706.749276630984
402,27063.54629745541
403,21689.677565969614
404,20916.792320596418
405,26873.62817828991
406,26520.213682162026
407,24252.690176737407
408,25236.741493808466
409,19351.38636444827
410,19134.2235050704
411,23547.309297381016
412,23630.646669147234
413,25605.078905626455
414,24796.966391596026
415,19279.579693720825
416,23607.71362953871
417,30575.034384274717
418,30332.909167396603
419,32522.666616204173
420,27041.344568380566
421,21265.75975852626
422,24218.313209474083
423,30551.612957626632
424,29678.180281836787
425,32336.119339844223
426,27656.395623459044
427,21598.55016569416
428,24615.547243135195
429,31064.028506027767
430,29602.110071030394
431,32202.18455615296
432,27531.433345809484
433,21849.868252024226
434,24265.16706199337
435,30419.784649864127
436,28981.47931387744
437,32166.393980545723
438,27193.317509348937
439,20937.235745697362
440,20028.70684954249
441,24734.794995592398
442,25191.38639751497
443,26950.036304565063
444,25860.294521797612
445,19923.473566134275
446,20381.734882911802
447,26321.50403103422
448,25863.158028123085
449,27994.157488101813
450,25514.460871727162
451,19344.65725756235
452,19134.2235050704
453,23592.117254472767
