,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
21,30947.606857195497,31714.708239771426,31097.65332042426,31808.250101357702,31749.411575078964,30657.786216378212,31932.40738852322,32657.582936227325,31630.30457039177,31861.679385125637,31885.84632796049,31523.376109622423,31873.91388542205,31972.408756703135,30056.978379771113,32304.23273159564,31155.15465697646,32376.71875476837,29420.193263798952,31397.31096673012,32503.354377649724,31041.48462438583,27323.54964637756,28961.67457641661
22,33443.51160171628,33544.38667679578,33245.86883851141,33738.59239877015,33562.43831050396,32899.99793279171,32896.882222920656,33609.394408151515,33771.60619598627,34331.42076347768,33309.82112300396,31025.481009054933,32178.530485495925,32792.81268090009,32777.12780816853,30518.499326698486,33577.61521989852,34518.1459069252,33147.50816872716,33353.94326835871,32865.452059969306,32807.904249072075,31648.15011259913,31138.84591441229
23,31804.792446494102,32256.250998985022,31151.410767376423,31873.33955521137,31401.654284119606,32932.47385203838,32447.77752108872,30986.595392599706,31008.35059125721,33194.565912380815,33229.323611974716,32243.219747148458,32508.873701542616,33076.231143653386,32489.32525461912,32678.474300488833,33512.14551644772,32289.962308883667,32182.95691533014,32077.107045367364,32417.07183904946,32453.636498749252,31414.255786716934,31786.728399727494
24,30469.232188999653,30899.375711917877,29163.47373650968,28659.634608179334,29791.973458230495,29885.226013481617,28732.052080258727,29212.65030998737,27713.73287570476,31568.577436327934,28804.137308120728,28086.83669689298,26474.929105758667,26326.67860342562,28455.726633057,27788.83000469208,26190.63268339634,26063.552488327026,25649.29167741537,25988.346078276638,24572.53156387806,23783.281546592712,26706.992979526516,25892.495636731386
25,23092.57560276985,23689.525357306004,22292.512476980686,22539.13887828589,22998.99626684189,23081.152901172638,22879.554185539484,22632.79083913565,22459.12915539741,24247.55531322956,22133.15382671356,22284.12679445744,22063.091605901718,22146.059609532353,24948.402331978083,22784.796545505527,22189.04068520665,23979.866626739502,21595.84107452631,22133.748484730724,22431.27635908127,22765.631355285645,24510.960827350613,23230.90239548683
26,22868.544658064842,23570.053790807724,22737.644222974777,23590.11192876101,22473.334567785263,24810.481652975082,24476.030634194613,22914.979554176334,22366.616773128506,24274.453594356775,25080.274388313293,24777.87603886426,26005.668705701828,25072.768518969413,25524.608428239822,28486.952312558893,26027.358257085085,24523.2768535614,27240.869562983513,28621.34142765403,27331.695620507002,28438.408240318295,31392.52779769897,30920.267127823085
27,27788.123012840748,28485.219148114324,27948.075769931078,28209.024267017845,27816.842826128006,28359.38982862234,28577.598649017513,28605.10592054576,28588.441358625885,28613.700072474778,29573.05346083641,28889.593719262633,29481.282236009836,28713.0733910799,25032.40033967793,31272.470888197426,28709.359120488167,30253.536645174026,27479.394616484642,30807.17980602384,29933.95802732557,29777.91054153442,27858.14750385284,28789.459696799517
28,28333.133625507355,28322.34194356203,28904.644479230046,29412.825259730223,28741.414400458336,28332.313013017178,27575.14753436297,28130.434735603634,28529.445751577612,29876.87779881805,28616.672348499298,25592.113691151146,27507.177703395486,27762.508040800687,29900.536136724055,25228.195235788826,27794.708742409945,30176.04624080658,28390.792669206858,28718.371143072847,27935.246658354998,27242.499089241024,27229.88952195644,28003.836476668715
29,27257.147338598967,28008.454931005836,26739.088267311454,27861.95004232228,26809.185305595398,27621.507947266102,27746.121180161834,26597.357624500994,27625.84962946176,28274.1635626629,28796.42640066147,28084.57242803276,27553.549927428365,28853.81199495494,27035.721572697163,28423.067672610287,28740.671543464065,28984.77181148529,27962.747344598174,29336.500301808122,28322.498150378466,28284.71256113052,29076.240486741062,29250.577541679144
30,28486.26477882266,28481.684813410044,27206.755217388272,27525.763294264678,27663.300804316998,28178.22495430708,27392.14779983461,27509.627043448392,27078.402639746662,30076.112451821566,27748.891145706177,26549.612279072408,24321.51739215851,24940.8990586549,27222.78433574736,26457.106414884332,25094.173989504576,27793.303590774536,25149.96344459057,25797.219299674038,22807.648848831654,22106.8422832489,25510.339838504788,25416.013061270118
31,21372.479011654854,21914.028919398785,20641.56468385458,21567.054044842724,21033.666281700134,21536.381994485855,21431.78464177251,21141.596525967125,21025.595671653744,24426.48572345078,21656.31972980499,21644.08372974396,21697.790467619896,21800.985044360157,24822.635170280933,21974.284015297893,21872.68889835477,23478.22865486145,21500.08056408167,21546.790872693065,22023.50379127264,22230.470662117004,23460.406559467312,22123.857751727104
32,21349.827835917473,22111.35843217373,21259.837869226933,22253.167303651575,20467.295812129974,22595.83692765236,22777.16990607977,21224.38290691376,21497.09133994579,25366.674829617143,23163.384735107422,22729.382713586096,23677.053709864616,23230.983565151688,25240.833234995604,25716.52946084738,23580.06742617488,25463.09924507141,24328.048381328583,25143.891742348675,25242.048908174038,25707.2432539463,27805.904751658436,27858.070559069514
33,23673.087362647057,23768.089454829693,22891.564481973648,23683.726825684313,22069.136870384216,23420.876394033432,24458.180170878768,22637.726680815224,23918.900404691693,25160.138892501593,23860.564219474792,23163.465319603685,24257.003226161003,23714.43631750345,25023.662787884474,25255.16746234894,23461.873938649893,25581.16612815857,23298.467729628086,24759.09326732159,24095.252959370613,24190.925729751583,24217.837138652798,24974.492246821523
34,25242.0924911201,25331.94528658688,25664.980901017785,25974.312375158075,24375.155429124832,26223.47824549675,24925.063145935535,24054.53215861321,25962.856790840622,26884.085258364677,26876.314830303192,24009.860213145617,25108.662363171577,25337.00169281661,26406.768498033285,24813.98579013348,25853.458240538836,27765.01421546936,26022.413153350353,26728.628006577495,25590.684500932693,24808.87450766563,25672.02487134933,26698.0910384804
35,24552.260251045227,24110.370824933052,23806.425115048885,24770.866974592213,22559.61088991165,24874.007598876953,24494.79303395748,22854.661962419752,25246.762258827683,25418.524883806705,25794.9944396019,25008.623002246026,24762.679562807083,26101.34999157488,25161.242481157184,24719.46990692616,24893.571697086096,25998.18102645874,25104.963273346424,25971.242226123813,24374.910207152367,24872.987548589703,26117.854855060574,25572.384028971195
