,0
584,25731.359801501036
585,36382.98983928561
586,33870.81483244896
587,37877.11670267582
588,33565.22976374626
589,23278.253662228584
590,27786.5192591846
591,36151.9053299427
592,34568.082331329584
593,38718.06832450628
594,34350.56491583586
595,23819.2399340868
596,28209.35024675727
597,36443.33381265402
598,35085.065743505955
599,38628.03317147493
600,34325.60004326701
601,24017.781525731087
602,28207.457330852747
603,36992.6332000196
604,35654.225591778755
605,38857.86810106039
606,34802.306943267584
607,24006.35861980915
608,28315.896364748478
609,36584.51917493343
610,34096.90820196271
611,38073.17429089546
612,33872.15893834829
613,23722.371777415276
614,23987.50603890419
615,33443.31237889826
616,30930.231995090842
617,33908.197329074144
618,32001.184665232897
619,22318.6242698431
620,22616.273928761482
621,28999.003289192915
622,28065.034752994776
623,31709.116435974836
624,31675.768251270056
625,21870.603860259056
626,26582.06237319112
627,37061.26236978173
628,35174.280473440886
629,38687.488918185234
630,34614.91325427592
631,24240.882365107536
632,28118.85761910677
633,35841.9912032485
634,33955.04400637746
635,38119.62690985203
636,34134.011507451534
637,23825.516150832176
638,28015.975286513567
639,35772.113251417875
640,33164.0494505316
641,37718.428449213505
642,33851.26746445894
643,23702.900189876556
644,27755.619181901217
645,35062.13856738806
646,32516.85867097974
647,37083.95223343372
648,32956.05654094368
649,23544.05638706684
650,23812.563277482986
651,29796.134266793728
652,27331.850112110376
653,31356.724374994636
654,31700.22858557105
655,21891.693161010742
656,23194.714888095856
657,31195.31321026385
658,28094.770204395056
659,32257.386006891727
660,30986.264659047127
661,21891.972352147102
662,22356.03269135952
663,29028.65099480748
664,26883.343112260103
665,31278.44237111509
666,31305.157572686672
667,21604.860164403915
668,25520.156492978334
669,34872.669889986515
670,32603.60235993564
671,36765.38716995716
672,33173.41910506785
673,23344.622979164124
674,27624.69608810544
675,36480.71551159024
676,34180.398317068815
677,38463.13730251789
678,34147.42823693156
679,24012.460940361023
680,28271.585141807795
681,36037.78874486685
682,34386.7979426682
683,38436.96592539549
684,33884.345631450415
685,23859.13874053955
686,28016.578738212585
687,35761.260294258595
688,33308.00339177251
689,38077.733880996704
690,33828.881919145584
691,23675.177307724953
692,28097.751566886902
693,35949.59864640236
694,34142.49054226279
695,37671.93833887577
696,32828.90262719989
697,23543.020986795425
698,24181.18970477581
699,32155.17532840371
700,28404.675955355167
701,32693.255220532417
702,30586.20170864463
703,21725.2170702219
704,22224.978776574135
705,28058.64207366109
706,26725.46212002635
707,30769.53057411313
708,30913.785642936826
709,21512.400036931038
710,25996.489276856184
711,36136.425776809454
712,33723.58637802303
713,37442.159247517586
714,33105.7840551734
715,23256.610765337944
716,27470.26031449437
717,35534.7134385705
718,33850.91089749336
719,37381.29637748003
720,32780.79968949407
721,23429.576853513718
722,27231.32136079669
723,35445.00134956837
724,33293.20067772269
725,37317.07563576102
726,32853.80368465185
727,23284.79152095318
728,27309.033814758062
729,35049.56818589568
730,33913.431165769696
731,37094.3529009521
732,32294.48731815815
733,22976.939420223236
734,26804.347974449396
735,34382.69981563091
736,31223.08036415279
737,35192.535585314035
738,31052.328461110592
739,22502.50752913952
740,23229.53241586685
741,31396.557571530342
742,28306.16256520152
743,32364.899921014905
744,30316.03402981162
745,21495.729933023453
746,21960.632631778717
747,28598.705419391394
748,26468.8272344172
749,30343.83029934764
750,30418.047280281782
751,20789.27744460106
752,23741.26743352413
753,33772.30184113979
754,30285.1183975935
755,33798.70315210521
756,30623.190545767546
757,20883.21329665184
758,22837.701216697693
759,31945.983193174005
760,27908.30003979802
761,31546.252879068255
762,23841.244981765747
763,20705.69240450859
764,19907.248829722404
765,22911.61028969288
766,23906.01253926754
767,26178.576938301325
768,27853.987392663956
769,19784.602556586266
770,21496.353725790977
771,31394.512496456504
772,29014.027361929417
773,32216.50664128363
774,29884.493076473475
775,20925.138233065605
776,23225.006328701973
777,32028.649893850088
778,29792.467689484358
779,32818.054555885494
780,29159.494319707155
781,20997.07701432705
782,21895.952820062637
783,28649.387385219336
784,26748.311920315027
785,30185.655358731747
786,28896.284083992243
787,21010.725472450256
788,20946.158932566643
789,26026.13698247075
790,25723.923745006323
791,28870.326487511396
792,29386.32714688778
793,20430.79283475876
794,22490.382656931877
795,33075.81208899617
796,30081.310862272978
797,33644.516656294465
798,30419.566478908062
799,20957.65203511715
800,22385.797657251358
801,31282.1562114954
802,27516.902783423662
803,31890.985331222415
804,25251.475706368685
805,21415.60686302185
806,20301.106158852577
807,22031.102069973946
808,24084.814519882202
809,27015.106172531843
810,28016.662495553493
811,19923.839164733887
812,22614.38819205761
813,33225.10037574172
814,31537.477901652455
815,33957.00512468815
816,30325.765037447214
817,22139.456947684288
818,24158.040771126747
819,32638.20411284268
820,29633.043966799974
821,32385.84125046432
822,29366.70838573575
823,21869.579627633095
824,22226.438547372818
825,30164.911058455706
826,28226.3202817142
827,30933.380672842264
828,29724.69005268812
829,21267.713734269142
830,21515.739162921906
831,27383.221281200647
832,27437.200893193483
833,28274.26497787237
834,28745.48896279931
835,20623.6102104187
836,21002.05459344387
837,24527.68983566761
838,23829.779000639915
839,26571.349410444498
840,29012.015989214182
841,21017.453181147575
842,24556.159354686737
843,34708.04244336486
844,31869.547639817
845,35137.71082186699
846,30940.08185838163
847,22283.61529672146
848,26583.696837872267
849,34405.545627474785
850,31477.922842666507
851,35212.766971588135
852,31135.6035990417
853,22782.387868762016
854,26687.16906145215
855,34428.26959232986
856,31809.484452962875
857,35590.25492554903
858,31325.786208063364
859,22724.719743013382
860,26877.40192487836
861,34567.764452278614
862,32600.02881310135
863,34938.01178354025
864,31303.61344628036
865,22762.373852729797
866,23443.05779695511
867,31351.547174215317
868,28621.434768646955
869,31001.841929078102
870,30141.236447781324
871,21608.781603336334
872,21878.464287281036
873,27316.794530659914
874,27262.837253957987
875,29566.719320446253
876,30025.69359484315
877,21195.313888788223
878,26162.81300905347
879,35439.76531922817
880,34054.83429713547
881,35933.89294844866
882,32311.927191913128
883,23405.36220741272
884,27435.494636505842
885,35441.0870898366
886,33761.57132923603
887,36181.913590967655
888,32243.252155035734
889,23161.01252949238
890,27383.313813120127
891,34919.1384627223
892,33303.73336276412
893,35918.41179993749
894,32134.374392211437
895,23052.214136719704
896,27446.726894766092
897,34789.1430811882
898,33429.68785144389
899,35667.551384717226
900,32230.352328002453
901,23341.677911520004
902,27447.300433129072
903,35004.01974737644
904,33264.82608368993
905,35322.76229664683
906,31862.20810368657
907,23101.1858574152
908,23733.060809493065
909,31988.960480749607
910,29554.8485121727
911,31181.01323968172
912,30255.948507666588
913,21635.485038995743
914,22097.45224237442
915,27983.77736929059
916,27844.839495658875
917,29309.969567626715
918,30969.257132709026
919,21545.551990151405
920,26443.51736137271
921,36317.660708755255
922,34619.600674033165
923,36393.43796929717
924,33113.425715997815
925,23548.689364552498
926,28215.748509913683
927,36471.5688111186
928,34652.491184696555
929,36968.78349661827
930,33367.734141752124
931,23863.869036078453
932,27959.123196572065
933,35702.64850246906
934,34556.09007491171
935,36610.27296188474
936,33276.74136312306
937,23848.240713953972
938,27608.352238982916
939,35424.705350488424
940,33200.10878059268
